Respondent ID,What languages do you use in Jupyter? (other),What are your primary job roles when you are using Jupyter? (other),"What are your go-to tools for performing data science, scientific computing, and machine learning on your laptop/ desktop (non-cloud) for data science? (other)",How do you run and/ or access Jupyter? (other),Major use cases (other).,What data sources are you primarily working with in your role? (other),What data formats are you mostly working with? (other),Do you experience these problems with data in Jupyter? (other),What type of analysis are you running? (other),What tools do you use to create dashboards? (other),Do you experience these problems with visualization in Jupyter? (other),How do you scale and schedule your workloads? (other),Do you experience these problems with scale in Jupyter? (other),What is your reason for sharing a notebook with someone else? (other),Comments about collaboration:,Do you have challenges with collaboration in Jupyter? (other),Do you have challenges with the notebook UI?,Open feedback for problems/ pain points you didn't get to share.
12380221142,,,,,,,,,,,,,,,,,,
12380186732,,,,,,,,I constantly run into Python runtime issues.,,,"Whenever I try to use PYthon, I get runtime and library problems. And I don't use R, becasue RStudio is objectively better. You try to be the jack of all trades, and simply manage to be not useful.",,"I've given up on your software, I no longer use it for anything.",,"Too inconsistent to use to collaborate, we moved to other systems.",,,"You have some of the most inconsistent software I've ever used. I cannot get it to set up reliably (and a docker container is not a solution, that's a stupid hack built on a quasi tower of babel of stupid hacks). I get runtime errors all the time, random kernel crashes, etc. I can't justify it for exploratory work, let alone actual production systems. The format used makes VCS difficult, and R Markdown is objectively better for display work. You tried to be everything, and manage to provide almost nothing."
12380159770,,,,,,,,,,,,,,,,,,
12380148870,,,,,,,,,,Jupyter Notebook + ipywidgets,,,,,,,,"I miss caching when converting to pdf (when re-running the conversion) and multi-page faceted plots like in rmarkdown. (Combined with the issues with version control of notebooks, this is a showstopper for me!)"
12380140375,,,,,,,,,,,,,,,,,,
12379941019,,,,,,,,,,,,,,,,,,
12379860802,,,,,,,,,,,,,,,,,,
12379817383,,,,,,,,,,,,,,,,,,
12379749974,,,,jupyterlab dedicated container that runs on kubernetes,,,,"when working on a remote server, and running an overnight job, when i return and reconnect to the kernel i can't see output/logs of what happened while i was away",,panel,no plots history of a cell output. can't go back to see what was the previous plot before re-running the cell,,,,very hard in jupyter. wish it could be better,,,"thank you for the hard work!  would love to see code editing features like variable highlight (like in vscode when you select a variable, that variable is highlighted all across the code)"
12379638336,,,,,,,,,,Bokeh,,Dagster,,,,,,
12379613728,,,,,,,,,,,,,,,,,,
12379545034,,,,,,,,,,,,,,,,,,
12379524479,,,,,,,,,,,,,I don't use jupyter notebooks for at-scale jobs,,"I'm a manager so collaboration often includes oversight, digging into results, or showing something, etc",,,"I use notebooks a lot for exploration and trying things, and it would be nice to have better built in tracking of the exploration so that I can easily keep track of what worked. Inevitable what I do now is copy and paste the same code into multiple cells to track versions. I have written a very simple decorator to track functions and output written in ipython cells. But I think native support would be more likely to be used: https://github.com/rbitr/ivc"
12379440715,,,,,,,,,,,"Poor support for graph interactivity/exploration in most packages.  Overly complex callback processes.  Poor support for most network visualization, especially overlaid on geographies. ",,,,,,,.
12379432693,"SAS, STATA",,,,,,,,,,,GPU accelerated programming,,,,,,
12379413040,,,,,Share code with other coworkers/collaborators. ,,,,,,,,,,,,Scrolling inside code cells is really annoying me,"- Text-search in the notebook seems rather sluggish and sometimes jumps to weird places without being prompted.  - Scrolling inside code cells is super annoying. I have no idea what this functionality could be useful for. It confuses me time and time again because my code went ""missing"" until I figure out that I need to grab my mouse again and scroll.  - Version control (git) is rather annoying / not functional without a series of custom made extensions, git scripts and painful workflow additions.  - A native ""export to pdf"" and ""export to HTML"" functionality would be really neat and save some time spent on getting nbconvert to run on the command line."
12379363010,,,,,,,,,,,,,,,,,,
12379336173,,,,,,,,,,Vega light,,,,make them pick up from where I left off,,,,
12379271642,,,,,,,,,,,,,,,,,,
12379271333,,,,,,,Multi-dimentional numpy arrays.,No way to debug code which is not inside a notebook.,,,,,,"Occasionally, as a submission in a course. ",,,,
12379263871,,,,,,,,,Exploratory data analysis,,,,,,,,,
12379238815,,,,,,,,,,,,,,,,,,
12379095165,,,,,,,,,,,,,,,,,,Thanks for all the great work. Y'all are amazing.
12379052580,,,,,,,,,,,,,,,,,,
12379029714,,,,,,,,,,,,,,,,,,
12379018626,,,,,,,,,,,,,,,,,,None. Love what you all are doing.
12379012217,,Data analyst,,,"Exploring problems, ideas, and possible solutions (and visualising and recording the results) before developing modules, packages, and GUIs from the successful fragments.",,,"No equivalent to ""Freeze Panes"" when viewing large DataFrames.","Data exploration and visualisation, time-series analysis",Holoviz / Panel / Param,,,,,"All 3 ""We work on ..."" answers apply to me!",,,
12379010571,,,,,,,,,,Streamlit,,,"Once I have a working model, I don't scale it in Jupyter.  I deploy it elsewhere.",,,,,The main thing that keeps me from using Jupyter more is that it is nearly impossible to collaborate with others on a notebook.  Getting review comments in the style of GitHub is very painful to impossible.  This limits my use of Jupyter to being personal EDA and the creation of figures.  
12378987333,markdown,research software engineer,,,,datalad,,,,,,,,,,,,
12378959741,,,,,,,,,,Streamlit,,,,,,,,
12378897218,,,,,,,,,,Power BI,,,,,,,,
12378896354,,"Making music, privately",,,"General software dev (with tests) I find better done in a regular editor with plugins for black etc.  Pipelines, regular data science and ML work takes place in DataBricks at my job at the moment, so no Jupyter there.",,,,,Power BI :-(  (work mandated),,Databricks notebooks in with beefed-up workers,,,,,,"Keep up the great work.  I do find it hard to introduce engineers (not software engineers, but the real ones ;) )  to python+jupyter+git+precommit in order to collaborate on jupyter notebooks with plots, but... I don't have any suggestions for how to make it easier."
12378882353,,,,,,,,,,Bokeh,,,,,,,,
12378866977,,Statistician,,,"I sometimes use it as an insanely overpowered calculator (calculating tips, etc.).",,,,,,,,,,,,,
12378392483,,,,,,,,,,,,,,,,,,
12376752121,,,,,,,,,,,,,,,,,,The persistence of outputs is a must!
12376588382,,,,,,,,,,,,,,,,,,
12376189027,,Machine Learning Engineer,,,,,,,,Chartio,,,,,,,,
12375821064,,,SAS,Vendor Hosted Citrix Environment,,,,,,,,,,,,,,
12375391075,,,,,,Personal,,,,,,,,,,,,
12374609497,,,,,,,,,,,,,,,,,,
12374561571,,,,,,,,,,,,,,,,,,
12374399125,,,,,,,,Can't figure out how to install Jupiter on my Mac.,,,,,,,,,Unable to figure out how to install on my Mac.,I am unable to figure out how to install Jupiter on my Mac. Dependency on a software stack I don't have?
12374372063,,,,,,,,,,,,,,,,,,
12374313871,I am learning how to use these (and C++ and Django) in Jupyter now. ,,"CodeBlocks, LaTex, Java",,,,"audio, text, graphs, and simulation",,"statistical: ANOVA, MANOVA, T-Test, etc.; Generative; Dimensionality, NLP, Outlier Detection",I am learning how to create dashboards now using Google and Tableau,,,,I am planning to share notebooks with my students so they can understand how others got the answers they got. ,I plan on using notebooks for my students. ,,,
12374156571,,,,,,,,,,,,,,,,,,
12373302154,,,,,,,,,,,,,,,,,,
12373264034,,,RapidMiner Studio,,"Communicate analysis results to other stakeholders. I've both tried using the slide creation from a notebook, and creating dashboards (with voila and streamlit). I think currently jupyter is esp. strong for documenting results for other coders, but not necessarily for business users/domain experts. Also voila is a great step in that direction.    Other important use-cases are: notebook to staging to deployment as well as general access to known data sources.",,,,,Streamlit,,,Sharing credentials for data sources,,,,I want to be able to quickly peak at the changes done to a sample of my data without always having to create output manually.,"In general I'm very satisfied with the jupyter environment, esp. after moving from notebooks to lab and introducing projects like voila. Keep up the great work."
12373262625,,,,,"I have two basic categories of use cases: exploring data, running my own analyses, etc. The other is communicating what sort of data analysis I've done to other people. In general, more literal notebook-like or textual features would help me organize long notebooks. Collapsable chapters, Font changes, etc.",,,,,,,,"Keeping things organize and technical-debt-free is non-trivial. I would love it if Jupyter Notebooks were easier to maintain, with annotations, footnotes but to the side, persistent outputs of cells, toggled version control of cells, etc.",I sometimes share JupyterNotebooks as deliverables for clients. ,,,,
12373246060,,,,,,,,,,,,,,,,,,
12372685226,,,,,,,,,,,,,,,,,,
12372391883,,,,,,,,,,,,,,,,,,
12372193546,,,,,,,,,,,,,,,,,,Not a problem for me  
12371803716,,,,,,,,,,,,,,,,,,
12371700092,,,,,,,,can't open big folder without jupyter hanging,,,,,,,,,,
12371277139,,,,,,,,,,,,,,,,,,
12371267967,,,,,,,,"Plot, zoom, stream graphs and images",,I would if it was easier,,,,,,,,Visualization is a big one.Collaboration is next. 
12371168662,,,,,,,,,,,,,,,,,,
12371119203,,,,,,,,,,,,,,,,,,No
12371059956,,,,,,,,,,Power BI,,,,,,,,None
12370978155,,,,,,,,,,,,,,,,,,
12370965740,,,,,,,,,,,,,,,,,,
12370884088,,,,,,,,,,,,,,,,,,Love Jupyter! ❤️
12370643439,,,,,,,,,,,,,,,,,,
12370402566,SAGE,,,,,,,,,,,,,,,,,
12370142703,,,VS Code & browser-based derivatives,,,,,"When running long background jobs, and closing the browser the output gets lost","Anthing computer vision: object detection, segmentation etc",,,,,,,,Making notebooks or single cells read-only/protected,Question 7 is annoying to fill out because all fields are required
12369862769,,,,Cloudera DSW,,,,,,,,,,,,,,
12369846351,,,,,,,,,,,,,,,,,,
12369841908,,,,,,,,,,,,,,,,,,"Thanks for this amazing project!  To emphasize the most important pain points:  Git diff, LSP, .py export not great"
12369809614,bash,PhD student,,,,,,,,,,,,,,,,
12369618923,Wolfram language,,,,,,,,,Holoviz-panel,,,,,,,,
12369572786,,,,,,,,,,,,,,,,,,
12369538831,,,,,,,,,,,,,,,Research supervision,,,
12369501790,Bash,,,,,Spark Delta Tables.,,,,,Wishing that HTML inside IPython.display.HTML(html) was better able to perform callbacks to refresh data,Databricks Connect Client - which lets me use a databricks cluster's spark with Jupyter Lab,,,,Better Git integration please.   All other software in our company has a dev->qa->release process using git.,Want emacs keybindings --- or even the ability to just edit cells with emacs.,Wish I knew a better way of publicly publishing work I do in Jupyter Lab.   My workaround is to port it to Google Colab or Databricks Community.
12369486436,,,,,,,,,,,,,,,,,,
12369454417,,,,,,,,"UI hangs if the (python) kernel starts hanging, which occurs way, way too often. Has been the case between different environments / operating systems and use-cases, and makes Jupyter a no-go for me",,,,,,,,,,"The thing that most keeps me away from jupyter is that I find the UI (both for Lab and Notebooks) way too slow, and prone to hanging indefinitely. It ends up being way less tedious to just write .py files (though inline plots are awesome, and I miss them).    Aside from that: I would be very happy to see you supporting scripts with cells separated e.g. by #%% (as an option instead of the large .ipynb datastructure with states stored etc). Since it makes it very convenient to gradually convert the code to a module that can be reused. "
12369446999,,,,,,,,,,,,,,,,,,
12369426274,,,,,,,,,,,,,,,,,,
12369392247,,,,,,,,,,,,,,,Jupyter is pretty bad for collaboration,,,Jupyter markdown is annoyingly limited compared to RStudio markdown for R. Please add the ability to use python f-strings or something similar in markdown to reference data.
12369332733,,,,,,,,,,Vegalite,Can not share interactive plots. Require js. Not sure what the solution is,,,,,Hate the fact that the saved output is json gobly gook. Rstudio saves its notebook in plain text just fine ,,Again. Please fix the json output. It should be plain text
12369317172,,,Microsoft Excel,,Explore data (similar to pandas-profiling),"SQL - Columnar Store (eg. Vertica, Clickhouse, Exasol)",,Any data manipulation must be programmed (eg. sort grid by column is a pandas statement that has to be written). I need it to be with just one click.,,,,,,Feedback about my insights generated from data,,,no debugger. no profiler. no unit testing support.,"It took me a day to understand that Jupyter Notebooks and Jupyter Lab are not the same. JupyterLab is nearly as usable as EDLIN. To get it to something resembling ""vi"" you need plugins, but most of them failed to work the the version of JupyterLab shipped by default to ubuntu, or only work with the J-Notebook but not with J-Lab. So I've decided to wait for a year or two and hope that at some point, you can just install one thing and it will let you explore the data (something similar to pandas-profiling) without the need to install tons of plugins. Then I would say Jupyterlab would be a ""vi for Data Science"". And the next step would be finally a full-blown WYSIWYG tool (""Excel for data science""), where you can finally focus not on writing code, or writing math formulaes, but on exploring and working with your data. With mouse clicks, not with writing Python commandoes."
12369306387,,,pyzo,,,,,,,,,,,,,,,
12369200610,,,,,,,,,,,,,,,,,,"When a Jupyter Notebook disconnects and reconnects, the output is lost and not updated. I think this is a problem when we SSH into a machine."
12369198715,,,,,,,Python pickled objects,,,,,,,,,,,"Couldn't get debugging python to work!! And getting ""_xsrf argument missing"" in jupyterlab preventing me from saving and no solution works except for reloading and praying. "
12369197173,,,,,,,,,,,,,,,,,,"Mainly the git integration, git integration, please git integration, please please"
12369141144,,,,,,,,,,,,,,,,,,
12369094496,,,,,,,,,,,,,,,,,,
12369065305,,,,,,,,,,,,,,,,,I don't like receiving notebooks from people because I'm forced to use JupyterLab instead of my preferred text editor.,"I like the REPL with graphical capabilities, which I should be able to use from my preferred text editor without being forced to use JupyterLab. The fact that ipynb files are not plain text is one of the big problems in this regard."
12369045216,,,,,,,,,,,,,,,,,,
12368986226,,,,,,,,,,,,,,,,,,Autocomplete and Language server support is a MAJOR issue and makes pure jupyter lab unusable for me (hence VSCode) 
12368969055,,,,,,,,,,,,,,,,,,
12368961160,,,,,,,,,,,,,,,,,,
12368866064,Bash,,,,,,,,,,,,,,,,,
12368821679,,,,,,,,,,,,,,,,,,
12368763581,,,,,,,,,,,,,,,,,,NOne
12368713428,,,,SSH tunneled from remote machines.,,py-python-dtrace and direct benchmark output as JSON into Python,,,"Very boring statistical analysis, anova, etc.",,,,,,,,I find it difficult to insert/remove/manage a cell or sets of cells.,"While I don't tend to use Jupiter for my own data analysis, I use it heavily in teaching undergraduate and graduate students. It's really helped standardize a data collection/manipulation/presentation environment for us, taking the burden off students doing data plumbing, an instead letting them focus on their tasks."
12368408137,,,"sam, acme",,,,,,,,,,,,,,,
12367792052,,,,,"Buiding applications prototypes. Voila is a great product. Due to voila, the Jupyter is greatly winning over Zeppelin.",,,,,Apache Zeppelin,No easy access / right off the bat charts like Zeppelin.,,,Share outcomes of my analysis.,,,No Marketplace for notebooks/notebook apps like Voila.,
12367329667,,,,,,,,,,,,,,,,,,
12367137770,,,,,,,,,,,,,,,,,,"yes, I need sharing  knowlodge"
12367038465,,,,,,,,,,,,,,,,,,Wish I didn't have to run entire chunks at a time.
12366977184,,,,,,,,,,"Metabase, Redash",,Dataiku,,,"We work some times in the same project but different parts, or in the same part, depends of the project. And for collaboration we use other software.",,,
12366920732,,,,,,,,,,d3.js + React,,,,,,,,
12366919347,,,,,,,,,,,,,,,,,,"Thank you for your thorough work on jupyterlab, you are amazing!"
12366692137,,,,,,,,,,Excel,,,,,,,,
12366675804,,,,,,,,,,,,,,,,,,not a fan of JupyterLab and it does't have the same stable experience as Jupyter Notebook.
12366066002,,,,,,,,,,,,,,,,,,
12365962964,,,,,,,,,,,,,,,,,,
12365820942,,,,,,,,,,,,,,,,,,muath
12365692616,,,,,,,,,,,,,,,,,,
12365646519,,,,,,,,,,,,,,,I am supervisor of juniors and students,,,
12365478958,,,,,,,,,,,,,,,,,,
12365392830,,,,,,,,,,,,,,,,,,
12365231932,,,,"UBY: Mobile: Minimize the left margin, conda-forge has ARM64 packages but there are like no ARM64 wheels on pypi","Publishing Linked Data (RDFa, JSON-LD)   within notebooks: notebook-level metadata, cell-cevel metadata and outputs w/ _reor_json_, _repr_html_","SPARQL, GraphQL, schema.org/Dataset , schema.org/DataCatalog","CSVW, JSON-LD",How to publish JSON-LD with _repr_html_ (only visible in the HTML render; alternative: add a JSON-LD *1.1* @context for nbformat so that application/json-ld cell outputs are read),,"https://github.com/ideonate/cdsdashboards , scikit-yb yellowbrick",Visualizing RDF,,dask-labextension,,,,"""Launch a notebook server locally from a link or a downloaded file; like BinderHub for the desktop"" https://github.com/westurner/nbhandler",https://github.com/jupyterlab/rtc
12365116288,,,,ssh to on site server,,,,,,Panel and soon streamlit,,,,,,,,"When teaching and presenting with the notebook, it would be really nice if it was possible to show the output on the side of each input cell so that the entire input code could be kept in view for long output such as plots. The current solution of split view for notebook does not perform well, and new view for output needs to be create for each cell. And collapsed code is reopened upon execution.    An option to reverse error message or simply print the final line wit the actual error also on top just under the input would save a lot of scrolling."
12365060479,,,,,,,,,,,,,,,,,,
12365059925,,,,,"The way this question is worded, it implies that I actually use Jupyter instead of the specific python package. ",,,,,,,,"In terms of splitting notebooks, please consider having the ability to drag non-coding cells around, so that one can annotate or comment much like Tufte-style footnotes in the margins.",,,,,"The integration between Jupyter and Conda could be tighter. It'd also be nice to be able to save a history of values in a certain cell, so that one can see how they change. For instance, say I'm computing the correlation between two data features, and both are computed using manhattan distance. If I switch the definition of one to euclidean, it'd be nice upon recalculating the correlation to see what it was last time, and the time before that, etc. "
12365059344,,,,,,,XML documents,,,,,,,,,,,
12365044836,,,,,,,,,,,,,,,,,,
12365033343,,,,,,,,debugging code in jupyter notebooks,"Numerically solving ODEs / PDEs,  large scale optimization",,,,,,,,,
12365029535,,,,,,,,,,,,,,,,,,
12364890363,,,,,,,,,,,,Rundeck,,,,,,Co-development is tricky
12364345879,,,,,,,,,,,,,,,,,,
12363815591,,,,,,,,,,,,,,,,,,
12362919531,,,,,,,,,,,,,,,,,,
12362834493,,,Eclipse,,,,,Interrupt of kernel fails / takes hours sometimes,,,,,,,,,,"Viewing large cells is with arrow scroll keys is tough, tends to skip over relevant content.   Non-linearity / no way to enforce that most recently executed cells go to the bottom of the stack."
12362750354,,,,,,,,,,,,,,,,,,
12362551560,,,,,,,,,,,,,,,,,,
12362331387,,,,,,,,,,,,,,,,,,
12362071872,,,,,,,,,,Power BI,,,,,,,,
12361830390,,,,,,,,,,,,,,,,,,
12361821039,,,,,,,,full output does not fit into visual,,matplolib,,,,,,,,
12361785299,,,,,,,,,,,,,,,,,,Debugging and a better functionality to convert to .py
12361780348,,,,,Use to conduct workshops/teach topics.,,,,,,,,,,,,,only reason I'm not switching to JupyterLab is the lack of support from regular jupyter notebook themes
12361709759,,Data Analyst,,,,,,,,Power BI,,,,,,,,
12361543387,,,,,"Practicing use of new libraries, writing new features and applications. Checking proof of concept and learning new technologies shared in research papers...",,,,,,,,,,I only use it for practice,,,"-Very limited options to edit text and comments in a Jupyter notebook.   -No native support to make adjustable graphs with sliders or other interactive features  -Limited options to visualise location coordinates on a world map (have to rely on 3rd party  libraries with limited locations)  -A variable can be changed in one cell only, can’t be changed in other cells at same time intuitively  -less auto completion of commands  -Very bad error logs with vague info make code hard to debug   -No GPU acceleration for normal work "
12361508058,,,,,,,,,,,,,,,,,,This is feedback for the survey itself: for the slider on question 16 it immediately goes from zero collaborators to 10. The use cases for a 1-3 collaborator notebook is much different from a zero collaborator notebook.
12361436916,,,,,,,,,,,,,,,,,,
12361359629,,,Google Colaboaratory,,,,,,,,,,,,,,,None so far.
12361302972,,,,,,,,,,,,,,,,,,
12361286020,,,,,,,,,,,,,,,,,,NA
12360908087,,,,,,,,,,,,,,,,,,
12360869985,,,,,,,,,,,,,,,,,,
12360807969,,,,,,,,,,,,,,,,,,
12360736348,,,,,,,,,"Quality checks, statistical qa",,,,,Record results of QA/QC checks,,"Can not have Healthcare protected health information (PHI) stored in cell outputs, so can't effectively use version control if we want to have outputs saved.",,"More IDE functions would be lovely.  Autocomplete, jump to function declaration, debugging step-through, multi-cursor implementation, vim/emacs keyboarding.    Also, the Healthcare PHI in outputs is a big problem for adopting version control with cell outputs.  Really not sure how to solve it, though."
12360710493,,,,,,,,,,,,,,,,,,
12360541213,,,,RStudio Pro Server,Developing parts of applications. Testing functions and classes for expected performance. I prefer the notebook cell style to a terminal for this application.,SQL - Oracle Business Intelligence Enterprise Edition,,No true built-in IDE support. I do not see Jupyter Notebook or Lab as an IDE. It lacks the features of PyCharm/VSCode for developing.,Business Intelligence Reporting,Power BI,"Some improvements were made with Jupyter Lab 3.0, but having different support for Notebook vs. Lab with extensions has been an issue for packages like plotly.",IBM Workload Scheduler for schedules,"Jupyter could really stand to improve by offering a better interface for creating python packages and applications using .py and other related files like requirements.txt, .env, .sql, .html (with jinja support), .css. (package structure, Flask apps, Dash apps, etc.)",,"I mostly use Python, my collaborator mostly uses R. There are only two of us.",,"Poor support compared to true IDEs like checking if modules are installed, code completion, locating objects everywhere they appear, and other standard IDE features.","Many data scientists don't consider Jupyter Notebook/Lab to be an IDE. They have their place, and I use them daily, but I use PyCharm when developing Dash/Flask apps or creating Python packages. Jupyter could really benefit from adding that type of interface. Maybe something like Jupyter Develop, that functions like a true IDE."
12360509431,,,,,Learning,,,,,,,,,,,,,Working with Terminal is confusing
12360468809,,,,Deepnote and Kaggle,,,,Managing requirements.txt file with current dependencies used in the current notebook.,,,,,,,,"No easy way to add comments on a cell for example by someone from the team, so the rest of the team can read it.",,
12360466987,,,,,,,,,,,,,,,,,,
12360435958,,,,,,,,,,,,,,,,,,
12360349877,,Machine Learning,SPSS,,,,,,,,,,,,,,,
12360330179,,,,,,,,,,,,,,,,,,
12360330030,,,,,,,,,,,,,,,,,,
12360324438,,,,,,,,,,,,,,,,,,
12360317668,,,,,,,,,,,,,,,,,,
12360317143,,,,,,,,,,,,,,,,,,
12360298750,,,,,,,,,,,,,,,,,,
12360298541,,,,,,,,,,,,,,,,,,
12359970384,,,,,,,,,,,,,,,,,,
12359515310,,,,,,,,,,,,,,,"I share notebooks publicly on GitHub and NBviewer, but with lots of people (not one particular person).",,,
12358083823,Fsharp,Structural Engineer,CoLaboratory,,,,,,,,,,,,I am generating data and sharing my calculations for review and potential rework (I also share HTML as a snapshot),,,"Overall, Jupyter Lab has been very good, but I have problems getting NodeJS working for using extensions (I am not an admin on my computer). I had to uninstall it."
12357301334,Sage,,,,,don't work with data,don't work with data,,,,,,,,,,,
12355097986,,,,,,,,,,,,,,,,,,
12353445672,,,,,,,,,,,,,,,,,,
12353429515,,,,,,,,,,,,,,,"As a senior, it is critical to be able to participate at different phases of a project",,,
12352162495,,,,,,,,,,,,,,,I tutor my friends in basics of Python via Google Colab. I prepare fun programming excercises for them to solve and we discuss the code we write.,,,
12351325301,,,,,,,,,,,,,,,,,,
12351278553,,,,,,,,,,,,,,,,,,
12351252324,,,Mostly Pycharm Pro for their support of notebooks,,,,,"On jupyter side, toughest thing is dropping connection -> logs/outputs are lost unless you take cae of that explicitly",,,,,,,,,,"Notebooks are very hard to keep integrated with other dev tools.  Git-tability is close to zero and even working with notebook as source e.g. during refactoring .py codebase is not a solved problem.    My closest solution now is pycharm pro - they have ok support for code writing and auto-completion/type-checks, but it hangs a lot, eats tons of memory for notebooks.     Other pain point is switching between servers. It is commonly assumed that notebook should be on the server, and for development/analytics it is a very wrong aassumption (I have to switch between machines when I need e.g much memory for genomics, or to gpu instances when doing computer vision, while some monitoring/simple analyses can be done on my machine).     Pycharm pro allows using remote notebook server with port forwarding thru ssh, I wish jupyter had this option in the box - i.e. execution kernel(s) should be separated from notebook interface and this should be quite configurable. Remote ipykernels did not work for me"
12350723601,,Scientific/Engineering Computing,,,,,,,,,,,,,,,,
12350294536,,,,,,,,,,,,,,,,,no formula editor similar to lyx,enable `\ref{}` and `\label{}` across cells. 
