Timestamp,What is the official name of your course?,At what school (or through what organization) is your course being taught?,"If there an official course webpage, please list it here:","If your course materials are publicly available online, please include the URL:",What are the names of the course instructors?,How often is this course taught?,Approximately how many students are in your class?,What level of education is your course?,What is the minimum level of programming experience that your students are expected to be at?,What field(s) is your course most related to?,What are the biggest pain points for you in running your class?,Please indicate which of the following Jupyter/IPython tools your class is utilizing:,"If you are using the notebook, are you using any custom or third-party extensions?","If you are using the notebook, how do students access it? (i.e. where is it installed?)",What language(s) will your students be using?,"If you are using the notebook, what kernel(s) will you be using?",What types of assignments do you use the notebook for?,What types of questions are included in your assignments?,"If you are using notebooks for graded assignments, how are you doing the grading?","When you grade coding answers, what aspects of the students' answers are you evaluating?",Are there any other ways that you structure your assignments or do grading that have not been covered by the previous questions?,What are the biggest pain points for you in grading Jupyter notebook assignments?,Are there any other ways in which you are using Jupyter in your class that were not covered in the previous questions?,Do you have any specific suggestions for how Jupyter tools could be made more accessible for instructors?
4/23/2016 5:32:06,,,,,,Every year,25 - 50,Graduate,Intermediate (a year of experience),"Computer science, Mathematics, Artificial Intelligence","Making students install a proper environment: git clone, conda create, etc.",Jupyter notebook,,"anaconda is provided, then conda create","Python 3, OCaml","IPyKernel, iocaml","Lab exercises, Homeworks / problem sets, Collaborative / group assignments","Manually graded coding exercises, Manually graded written answers (prose)",By hand,"Correctness, Clarity",,Grading is never fun... but necessary to understand what students didn't get :/,,
4/23/2016 6:58:14,"""Intro to Numerical Methods"" and ""Numerical Methods for PDEs""",Columbia University,,https://github.com/mandli/intro-numerical-methods,Kyle Mandli,Every year,50 - 100,"Advanced undergraduate (juniors and seniors), Graduate",Intermediate (a year of experience),"Data science, Machine learning, Mathematics, Statistics",LaTeX support is nice but could be better.  Slides are not ideal,"Jupyter notebook, IPython terminal, Interactive widgets, JupyterHub, nbconvert, nbgrader",None,All of the above except for Binder and tmppnb,Python 2,IPyKernel,"In-class exercises, Homeworks / problem sets, Collaborative / group assignments, Exams","Autograded coding exercises, Manually graded coding exercises, Manually graded written answers (prose)","nbgrader, Peer grading","Style, Correctness, Clarity",None,Creating assignments can be tricky.  ,,
4/23/2016 7:58:18,Time series analysis,University of Hamburg,,,Prof. Dr. Lars Kaleschke,Every year,10 - 25,Advanced undergraduate (juniors and seniors),Intermediate (a year of experience),Earth science,"Painful was the configuration of IPython/Jupyter notebook server (security issues) last year. Our IT has not yet installed Jupyterhub, therefore everyone had to configure her/his own server which was difficult without UNIX background. This year (April 2016) I started using cloud.sagemath.com as a viable solution.","Jupyter notebook, IPython terminal",,SageMath Cloud,"Fortran, Matlab / Octave, Python 2, Python 3","IPyKernel, SageMath","In-class exercises, Lab exercises, Homeworks / problem sets, Collaborative / group assignments",Ungraded coding exercises,N/A,N/A,,,,Jupyterhub installation seemed to be too difficult/expensive for experienced IT.
4/23/2016 8:15:17,,,,,,Once,50 - 100,Corporate Training,Intermediate (a year of experience),"Data science, Machine learning, Statistics",differing skill levels,"Jupyter notebook, IPython terminal, IPython parallel, nbconvert",No,They have it installed on their own computers,"Bash, Python 3, R, SAS",IPyKernel,"In-class exercises, Homeworks / problem sets","Manually graded coding exercises, Manually graded written answers (prose)",By hand,Correctness,,,,
4/23/2016 13:03:08,Introduction to Python,CEA,https://github.com/jhillairet/Fusion/tree/master/Python_Crash_Course,https://github.com/jhillairet/Fusion/tree/master/Python_Crash_Course,Julien Hillairet,Ad-hoc (e.g. workshops),10 - 25,"Mixed (conferences, workshops, Software Carpentry style events, etc.)",Intermediate (a year of experience),Physics,,"Jupyter notebook, IPython terminal",,It is installed on computers in a university/school computer cluster or lab,Python 3,IPyKernel,,,,,,,,"easy export to html or pdf, taking into account css styling"
4/23/2016 13:27:32,Advanced Programming Projects,University of St Andrews,,,Alexander Konovalov,Every year,50 - 100,Intermediate undergraduate (sophmores and juniors),Intermediate (a year of experience),Computer science,,Jupyter notebook,,They have it installed on their own computers,"Python 2, Python 3",IPyKernel,Collaborative / group assignments,"Manually graded coding exercises, Manually graded written answers (prose)",By hand,"Style, Correctness, Clarity",,,"This year I switched from PDF beamer slides to using Jupyter notebooks. Before the lecture, students may open notebook exported in PDF or open .ipynb file and follow the lecture re-running all steps that I will be demonstrating.",
4/23/2016 15:01:39,Mathematics for Robotic Control,Bonn-Rhine-Sieg University Applied Sciences,,,Prof Paul Ploeger,Every semester / quarter,10 - 25,Graduate,Complete novice (no experience),Robotics,Testing the results. correcting assignments. ,"Jupyter notebook, nbconvert","pytest
Foxit reader to annotate the pdf",They have it installed on their own computers,Python 2,IPyKernel,"In-class exercises, Homeworks / problem sets, Exams","Autograded coding exercises, Manually graded written answers (prose)","By hand, Pytest","Correctness, Clarity",,,,
4/23/2016 15:08:09,Topology in condensed matter,Delft university of technology,http://topocondmat.org,http://topocondmat.org,"Anton Akhmerov
Jay Sau",Semi-continuously (e.g. a MOOC),25 - 50,"Graduate, MOOC",Intermediate (a year of experience),Physics,Mostly small things: lack of static widgets or proper input hiding. Also converting from notebooks to EdX format took a lot of effort,"Jupyter notebook, nbconvert",,Mainly static output,Python 3,IPyKernel,"In-class exercises, Homeworks / problem sets, Collaborative / group assignments",Ungraded coding exercises,Peer grading,Correctness,,,,
4/23/2016 18:04:41,Learning Cython,OReilly Media,http://shop.oreilly.com/product/0636920046813.do,http://examples.oreilly.com/0636920046813/,Caleb Hattingh,Online Screencast,More than 500,MOOC,Advanced (2-3 years of experience),"Computer science, Data science, Physics",,Jupyter notebook,Cython magic extension,They have it installed on their own computers,"Bash, Python 3, Cython",IPyKernel,In-class exercises,Ungraded coding exercises,N/A,N/A,,,,
4/23/2016 19:31:13,Introduction to Stochastic Geometry for Wireless Networks ,University of Oulu (FI) University of Campinas (BR),http://www.oulu.fi/dce/node/27782,http://nbviewer.jupyter.org/gist/pedrohjn/9687bbf8bd1b3e12559b,Pedro Nardelli,Ad-hoc (e.g. workshops),10 - 25,Graduate,Novice (~1 semester of experience),"Electrical engineering, Mathematics, Statistics","Get students interested, but they liked the material (I think).",Jupyter notebook,No that I know,SageMath Cloud,Python 2,IPyKernel,In-class exercises,Carry out a project,N/A,N/A,-,-,I developed virtual lecture notes in a similar way I carry out my own research.,"Make easier to prepare slides. Ps. when I first prepare my lectures, I used Ipyton nb. When I moved to Jypiter, many thing stopped running. So the conversion was not so smooth as I wished for. "
4/24/2016 1:44:10,biophysics,ESBS - Strasbourg,No,nope,,Every year,25 - 50,Advanced undergraduate (juniors and seniors),Novice (~1 semester of experience),"Biology, Chemistry, Physics",exam,Jupyter notebook,no,It is installed on computers in a university/school computer cluster or lab,Python 2,IPyKernel,Exams,"Manually graded coding exercises, Manually graded written answers (prose)",By hand,N/A,,n/a,,
4/24/2016 5:07:04,Introduction to programming and data analysis & visualization with Python,Champalimaud Neuroscience Program,,https://github.com/zencore/neuropy,"Marc Gouw
",Once,10 - 25,"PhD, Postdoc, senior researchers",Complete novice (no experience),Biology,"1. Installing anaconda on windows with foreign usernames, 2. Running jupyter on OSX with poorly set locale settings 3. Lack of fun datasets",Jupyter notebook,,They have it installed on their own computers,Python 2,IPyKernel,In-class exercises,Ungraded coding exercises,N/A,N/A,,,,
4/24/2016 5:13:54,Python 3,"HE-ARC, Switzerland",,,Yoan Blanc,Every year,25 - 50,Intermediate undergraduate (sophmores and juniors),Intermediate (a year of experience),Computer science,Free the students' mind from the Java/C++ stuffs they already know.,"Jupyter notebook, nbconvert",,They have it installed on their own computers,Python 3,IPyKernel,"In-class exercises, Homeworks / problem sets","Ungraded coding exercises, Manually graded written answers (prose)",By hand,"Style, Correctness",,,"Doing all the administrative stuff, grades, plos, etc.",To have a built-in zoom or enable a fluid (full width) UI.
4/24/2016 7:13:38,,,,,,Every year,10 - 25,Graduate,Complete novice (no experience),"Computer science, Linguistics",Balancing between students with programming background and those without it.,"Jupyter notebook, nbconvert",Rise - https://github.com/damianavila/RISE,They have it installed on their own computers,Python 3,IPyKernel,,,,,,,I use Jupiter mostly to present exercises and solve them together with students interactively. I try to structure it in a form of interactive slides.,"Better build in support for interactive presentations (slides). I use RISE extension right now, but very often the formatting is off and the text or the code doesn't fit on a slide and fixing it is very painful."
4/24/2016 14:35:58,BE/Bi 103: Data Analysis in the Biological Sciences,California Institute of Technology,http://bebi103.caltech.edu/,http://bebi103.caltech.edu/,Justin Bois,Every year,50 - 100,"Advanced undergraduate (juniors and seniors), Graduate",Novice (~1 semester of experience),"Biology, Statistics",Finding good data sets to use for exercises.,"Jupyter notebook, IPython terminal, Interactive widgets, nbconvert",,They have it installed on their own computers,Python 3,IPyKernel,"In-class exercises, Homeworks / problem sets, Collaborative / group assignments","Manually graded coding exercises, Manually graded written answers (prose)",By hand,"Style, Correctness, Clarity",,We sometimes have trouble sharing larger data sets within the assignments.,"I do some interactive plotting to demonstrate, e.g., how shapes of probability distributions change with parameters.","I think awareness is the number 1 issue.  The more people have heard of Jupyter notebooks, the more will use them (because they're great!)."
4/24/2016 20:03:56,Principles of Autonomy and Decision Making,MIT,,,,Every year,25 - 50,"Advanced undergraduate (juniors and seniors), Graduate",Intermediate (a year of experience),Computer science,"Collecting the students homework notebooks. Grading is fine with nbgrader, but we want students to run their notebooks locally and not in a server. Fixing errors in the HW notebooks and distributing the changes without overwriting the students' work. ","Jupyter notebook, Interactive widgets, nbgrader",,"We distribute a VM with everything pre-installed as some of the code is hard to install in Windows (optimization solvers, for example)",Python 2,,Homeworks / problem sets,"Autograded coding exercises, Manually graded coding exercises, Manually graded written answers (prose)","nbgrader, By hand",Correctness,,Collecting the notebooks from them. Running the code in a sandboxed environment to prevent a malicious student possibly messing up our computers,Providing examples of code and algorithms,
4/24/2016 20:38:31,,,,,,Every year,Less than 10,Graduate,Intermediate (a year of experience),Earth science,,Jupyter notebook,,They have it installed on their own computers,"Python 2, Python 3",IPyKernel,"Homeworks / problem sets, Exams",Manually graded coding exercises,By hand,Correctness,,,,
4/25/2016 1:48:52,Introduction to Data Science and Big Data,"Facultat de Matemàtiques i Informàtica, Universitat de Barcelona",http://www.ub.edu/datascience/,,"Jordi Vitrià
Oriol Pujol
Santia Seguí
Petia Radeva
Lluis Garrido
Laura Igual
Sergio Escalera
Eloi Puertas
Francesc Dantí
Jordi Nin",Every semester / quarter,25 - 50,Graduate,Intermediate (a year of experience),"Computer science, Data science, Mathematics",Grading,"Jupyter notebook, IPython terminal",,They have it installed on their own computers,"Bash, Python 2, R",IPyKernel,"In-class exercises, Homeworks / problem sets, Collaborative / group assignments","Manually graded coding exercises, Ungraded coding exercises",By hand,"Style, Correctness, Clarity",,,,
4/25/2016 9:44:52,Python in Scientific Computing,Stony Brook University,http://bender.astro.sunysb.edu/classes/python-science/,http://bender.astro.sunysb.edu/classes/python-science/,Michael Zingale,Every year,25 - 50,Graduate,Novice (~1 semester of experience),"Earth science, Physics, Planetary/space science, astrophysics",never enough time,"Jupyter notebook, IPython terminal",N/A,They have it installed on their own computers,"Fortran, Python 2, Python 3, C",IPyKernel,In-class exercises,N/A,N/A,N/A,grades are based on participation only in an online discussion forum,,,
4/25/2016 9:54:12,Molecular Cellular and Developmental Biology Laboratory 241L,Yale University,,,,Every year,10 - 25,Advanced undergraduate (juniors and seniors),Complete novice (no experience),Biology,,Jupyter notebook,,SageMath Cloud,"Python 2, Python 3, R",,"In-class exercises, Lab exercises, Collaborative / group assignments, Exams","Manually graded coding exercises, Manually graded written answers (prose)",By hand,"Correctness, Analysis ""correctness""",,,,
4/25/2016 9:55:32,Métodos computacionales para clasificación,"UNAM, Mexico",http://bis.ifc.unam.mx/es/ensenanza/metodos-computacionales-para-clasificacion,http://bis.ifc.unam.mx/es/ensenanza/metodos-computacionales-para-clasificacion,"Gabriel del Rio, Christian Diener, Ricardo Corral",Semi-continuously (e.g. a MOOC),10 - 25,Intermediate undergraduate (sophmores and juniors),Novice (~1 semester of experience),"Biology, Data science, Machine learning","Installing Jupyter across several OSs. No good, free hosted solution.","Jupyter notebook, nbconvert",,They have it installed on their own computers,Python 3,IPyKernel,"In-class exercises, Lab exercises, Homeworks / problem sets, Exams","Manually graded coding exercises, Ungraded coding exercises",By hand,"Style, Correctness",,Running them by hand for each student. Lacking additional files the student used but did not send along the notebook.,,It should be lighter. currently Jupyter eats a lot of RAM and CPU and is therefore not usable by students with weak laptops. JupyterHub should be much simpler to set up.
4/25/2016 10:00:42,Medical Research Methodology,Aristotle University of Thessaloniki,http://mrm.med.auth.gr/,,,Every year,10 - 25,"Graduate, Mixed (conferences, workshops, Software Carpentry style events, etc.)",Complete novice (no experience),"Biology, Medicine",Tailoring R concepts to medical background,Jupyter notebook,,They have it installed on their own computers,R,IRKernel,"Homeworks / problem sets, Collaborative / group assignments",Manually graded coding exercises,By hand,Clarity,,,,
4/25/2016 10:03:03,Geographic Data Science,University of Liverpool,http://darribas.org/gds15/,http://darribas.org/gds15/,Dani Arribas-Bel,Every year,50 - 100,"Advanced undergraduate (juniors and seniors), Graduate",Complete novice (no experience),"Data science, Geography","Getting a complete, cross-platform and straightforward install of the pydata stack, particularly related to non-python geospatial libraries (e.g. gdal)","Jupyter notebook, Interactive widgets, nbconvert",No,They have it installed on their own computers,Python 2,IPyKernel,Homeworks / problem sets,"Manually graded coding exercises, Manually graded written answers (prose)",By hand,"Correctness, Clarity","No, but would be very interested in seeing experiences of this","Processing them through Turnitin, the platform the university uses for submissions. I have half solved it by having the students submit html versions of the notebook, but it's suboptimal.",,"Not accessible, but it would be nice to have easier ways to tweak the appearance of a notebook (e.g. better typography, Tufte-like layouts, etc.)"
4/25/2016 10:18:19,Computation in Psychology,University of Toronto,,,Christopher Honey,Every year,10 - 25,"Intermediate undergraduate (sophmores and juniors), Advanced undergraduate (juniors and seniors)",Complete novice (no experience),"Biology, Machine learning, Psychology",Students have widely differing backgrounds in computational methods and programming.,Jupyter notebook,,SageMath Cloud,"Python 2, Python 3",,"In-class exercises, Homeworks / problem sets","Manually graded coding exercises, Ungraded coding exercises, Manually graded written answers (prose), Ungraded written answers (prose)",By hand,"Correctness, Clarity",,,,
4/25/2016 10:21:21,Geophysics 1 & 2,universidade do estado do Rio de Janeiro,http://www.leouieda.com/teaching/geofisica1.html,https://github.com/leouieda/geofisica1,Leonardo Uieda,Every year,25 - 50,Advanced undergraduate (juniors and seniors),Complete novice (no experience),Earth science,Integrating assessment with the interactive examples provided in notebooks. Students aren't able to install all software on their computer for home study.,"Jupyter notebook, Interactive widgets",,It is installed on computers in a university/school computer cluster or lab,Python 2,IPyKernel,"Lab exercises, Collaborative / group assignments, Exams",Manually graded written answers (prose),By hand,N/A,,"Manually grading. If using a form or notebook as assignment, students can't draw/sketch their answers (very useful in Geophysics)",,
4/25/2016 10:30:57,Advanced Statistical Computing,Vanderbilt University School of Medicine,https://github.com/fonnesbeck/Bios8366,https://github.com/fonnesbeck/Bios8366,Chris Fonnesbeck,Every year,10 - 25,Graduate,Intermediate (a year of experience),Statistics,Grading of computing projects; managing the balance between conventional and flipped classrooms. ,"Jupyter notebook, IPython parallel, nbconvert",,They have it installed on their own computers,"Python 3, Cython",IPyKernel,"Homeworks / problem sets, Collaborative / group assignments","Manually graded coding exercises, Ungraded written answers (prose)",By hand,"Correctness, Clarity, Reproducibility ",,Diffing notebooks,,Better support for tables either via html or latex
4/25/2016 10:31:57,Physics on the Computer,Cal Poly San Luis Obispo,,https://github.com/Computing4Physics/C4P,"Jennifer Klay
Brian Granger",Every year,25 - 50,Intermediate undergraduate (sophmores and juniors),Complete novice (no experience),Physics,Grading,"Jupyter notebook, Interactive widgets",,It is installed on computers in a university/school computer cluster or lab,Python 2,IPyKernel,"In-class exercises, Lab exercises, Homeworks / problem sets, Collaborative / group assignments, Exams","Manually graded coding exercises, Ungraded coding exercises",By hand,"Correctness, Clarity",,Manually opening and reviewing all the notebooks.  Recording my comments and sending the feedback to the students.,,"A backend that lets users of Windows machines install the notebook and use it as seamlessly as the OSX/Linux side.  In the short-term, giving students access to a central server via browser is great but once a class is over or they leave the university, they lose that connection.  It is more empowering and they are more likely to continue using the software if they have it locally installed.  I want students with Windows-based systems to be able to use the exact same commands as the others.  That's how you encourage widespread adoption of the tool - remove the barriers."
4/25/2016 10:39:16,Quantopian Lecture Series,Quantopian,quantopian.com/lectures,quantopian.com/lectures,Delaney Granizo-Mackenzie,Ad-hoc (e.g. workshops),More than 500,"Advanced undergraduate (juniors and seniors), Graduate, Mixed (conferences, workshops, Software Carpentry style events, etc.)",Novice (~1 semester of experience),"Computer science, Data science, Economics, Mathematics, Finance",,Jupyter notebook,Quantopian Builds frontend on top of the notebooks,quantopian.com,"Python 2, Python 3",,,,,,,,,
4/25/2016 12:01:31,Data 301,Cal Poly,,,Dennis Sun,Every year,50 - 100,Advanced undergraduate (juniors and seniors),Intermediate (a year of experience),Data science,"Some of the features of nbgrader (e.g., read-only cells) are unintuitive.","Jupyter notebook, JupyterHub, nbgrader",,JupyterHub,Python 3,IPyKernel,"In-class exercises, Lab exercises, Homeworks / problem sets","Manually graded coding exercises, Manually graded written answers (prose)",nbgrader,"Style, Correctness, Clarity",,Cells sometimes get out of order as students shuffle them around. It is not clear to students which cells are read-only.,,
4/25/2016 12:11:47,Introduction to Cognitive Neuroscience,Stanford,,,,Every year,100 - 250,"Introductory undergraduate (freshman and sophmores), Intermediate undergraduate (sophmores and juniors)",Complete novice (no experience),"Biology, Computer science, Psychology","Providing access to the notebooks for students. We dealt with lots of server crashes, etc. ",Jupyter notebook,No,It is installed on computers in a university/school computer cluster or lab,Python 2,IPyKernel,In-class exercises,Ungraded coding exercises,N/A,N/A,No,NA,No,No
4/25/2016 12:14:15,Big Data for Federal Employees,University of Maryland,,https://github.com/CSSIP-AIR/Big-Data-Workbooks,,Ad-hoc (e.g. workshops),25 - 50,Postgraduate,Novice (~1 semester of experience),"Economics, Statistics",The wide range of coding and technical ability among the students. ,"Jupyter notebook, JupyterHub",https://github.com/CSSIP-AIR/Big-Data-Workbooks,AWS Server,Python 2,IPyKernel,"In-class exercises, Homeworks / problem sets","Autograded coding exercises, Manually graded coding exercises",nbgrader,Clarity,,Difficult to write questions appropriate for auto-grading,,
4/25/2016 13:13:54,Science Institute,Yeshivah University High School for Girls,,,,Every year,Less than 10,High school (ages 14-18),Complete novice (no experience),Biology,"Now that we use the hub, we are having a great time with it. Installation of R packages is sometimes painful - sometimes because R, and I am not sure if sometimes because I haven't master the hub documentation, or maybe there are some pain points. ","Jupyter notebook, IPython terminal, JupyterHub",,JupyterHub,"Bash, Python 3","Apache Toree / Spark, IPyKernel","In-class exercises, Lab exercises, Homeworks / problem sets, Collaborative / group assignments","Manually graded coding exercises, Ungraded coding exercises, Manually graded written answers (prose), Ungraded written answers (prose)","By hand, Peer grading","Correctness, Conceptuall approach",,,,
4/25/2016 13:45:52,Foundation of Data Science & Advanced Data Science,University of Illinois,https://github.com/UI-DataScience/info490-sp16,https://github.com/UI-DataScience/info490-sp16,"Robert Brunner
Edward Kim",Every semester / quarter,50 - 100,"Introductory undergraduate (freshman and sophmores), Intermediate undergraduate (sophmores and juniors), Advanced undergraduate (juniors and seniors), Graduate",Complete novice (no experience),"Computer science, Data science, Machine learning, Statistics",,"Jupyter notebook, IPython terminal, Interactive widgets, JupyterHub, nbconvert, nbgrader",,JupyterHub,Python 3,IPyKernel,Homeworks / problem sets,Autograded coding exercises,"nbgrader, Peer grading","Style, Correctness, Clarity",,,,
4/25/2016 13:55:52,Probabilistic Models,"Johannes Kepler University, Linz",,,Filip Korzeniowski,Every year,25 - 50,"Advanced undergraduate (juniors and seniors), Graduate",Advanced (2-3 years of experience),"Computer science, Data science, Machine learning, Statistics"," - Correcting handed-in assignment solutions
 - Creating presentations",Jupyter notebook,"RISE - https://github.com/damianavila/RISE
JSAnimation - https://github.com/jakevdp/JSAnimation",They have it installed on their own computers,"Python 2, Python 3",IPyKernel,Homeworks / problem sets,"Manually graded coding exercises, Manually graded written answers (prose)",By hand,Correctness,,I could not find a way to write corrections and comments without changing the student's texts themselves. I'd like to have something that works like annotating PDF files - at least the possibility to add text areas.,,"It would be nice to have a central collection of tools that are useful for education, together with a description and some basic examples. E.g., I did not know about nbgrader before doing this survey."
